record identifier,issue_type,issue_detail,action_taken
stores | store_id: 1,DATA_NORMALIZATION,Field 'city' had value 'Sharjah-Emirate',Standardized
sales | order_id: 13948,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 13958,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 14073,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 14165,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 14516,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 14523,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 14553,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 14750,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 14759,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 14782,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 14904,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 15152,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 15153,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 15222,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 15299,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 15332,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 15371,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 15456,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 15490,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 15495,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 15610,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 15666,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 15684,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 15724,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 15756,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 15761,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 15868,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 15965,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 16108,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 16130,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 16259,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 16303,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 16559,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 16578,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 16595,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 16612,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 16615,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 16688,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 16789,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 16824,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 16862,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 16935,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 16936,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 16955,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 17022,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 17063,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 17145,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 17217,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 17327,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 17344,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 17488,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 17601,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 17774,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 17782,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 17787,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 17793,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 17823,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 17826,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 17923,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 17945,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 17992,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 18088,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 18120,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 18161,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 18298,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 18414,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 18455,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 18618,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 18631,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 18748,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 18811,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 18916,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 18937,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 18983,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 19132,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 19185,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 19298,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 19344,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 19392,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 19527,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 19636,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 19731,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 19836,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 19994,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 20043,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 20074,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 20123,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 20250,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 20252,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 20358,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 20405,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 20612,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 20836,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 20940,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 21022,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 21068,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 21197,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 21212,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 21277,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 21411,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 21445,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 21457,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 21480,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 21498,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 21522,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 21685,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 21784,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 21817,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 21819,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 21890,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 21919,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 21933,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 21957,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 21982,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 22017,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 22052,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 22073,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 22200,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 22229,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 22358,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 22460,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 22496,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 22500,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 22565,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 22573,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 22580,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 22654,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 22697,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 22751,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 23008,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 23033,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 23096,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 23140,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 23173,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 23225,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 23246,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 23250,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 23309,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 23495,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 23502,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 23519,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 23557,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 23687,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 23752,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 23781,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 23964,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 23982,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 23984,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 24049,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 24072,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 24113,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 24171,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 24531,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 24534,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 24721,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 24787,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 24919,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 25048,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 25077,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 25189,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 25269,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 25374,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 25377,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 25454,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 25565,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 25658,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 25784,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 25904,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 25938,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 26000,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 26056,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 26087,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 26181,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 26330,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 26574,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 26693,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 26742,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 27064,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 27085,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 27108,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 27182,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 27244,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 27344,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 27396,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 27470,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 27491,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 27569,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 27636,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 27725,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 27839,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 28015,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 28091,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 28297,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 28309,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 28337,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 28421,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 28437,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 28669,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 28673,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 28939,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 28954,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 28992,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 29039,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 29090,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 29118,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 29134,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 29155,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 29167,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 29196,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 29209,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 29260,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 29268,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 29284,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 29487,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 29519,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 29556,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 29629,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 29811,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 29851,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 29869,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 29874,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 29883,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 29891,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 29893,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 29925,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 29967,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 2713,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 28363,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 4577,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 2382,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 7125,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 19831,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 10128,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 26587,DUPLICATE_ID,Field 'order_id' had value '26587',Dropped Record
sales | order_id: 13668,DUPLICATE_ID,Field 'order_id' had value '13668',Dropped Record
sales | order_id: 9256,DUPLICATE_ID,Field 'order_id' had value '9256',Dropped Record
sales | order_id: 14462,DUPLICATE_ID,Field 'order_id' had value '14462',Dropped Record
sales | order_id: 3657,DUPLICATE_ID,Field 'order_id' had value '3657',Dropped Record
sales | order_id: 5617,DUPLICATE_ID,Field 'order_id' had value '5617',Dropped Record
sales | order_id: 8041,DUPLICATE_ID,Field 'order_id' had value '8041',Dropped Record
sales | order_id: 2046,DUPLICATE_ID,Field 'order_id' had value '2046',Dropped Record
sales | order_id: 16588,DUPLICATE_ID,Field 'order_id' had value '16588',Dropped Record
sales | order_id: 28170,DUPLICATE_ID,Field 'order_id' had value '28170',Dropped Record
sales | order_id: 20332,DUPLICATE_ID,Field 'order_id' had value '20332',Dropped Record
sales | order_id: 7878,DUPLICATE_ID,Field 'order_id' had value '7878',Dropped Record
sales | order_id: 6762,DUPLICATE_ID,Field 'order_id' had value '6762',Dropped Record
sales | order_id: 23077,DUPLICATE_ID,Field 'order_id' had value '23077',Dropped Record
sales | order_id: 24624,DUPLICATE_ID,Field 'order_id' had value '24624',Dropped Record
sales | order_id: 21179,DUPLICATE_ID,Field 'order_id' had value '21179',Dropped Record
sales | order_id: 23065,DUPLICATE_ID,Field 'order_id' had value '23065',Dropped Record
sales | order_id: 20908,DUPLICATE_ID,Field 'order_id' had value '20908',Dropped Record
sales | order_id: 23738,DUPLICATE_ID,Field 'order_id' had value '23738',Dropped Record
sales | order_id: 19531,DUPLICATE_ID,Field 'order_id' had value '19531',Dropped Record
sales | order_id: 9099,DUPLICATE_ID,Field 'order_id' had value '9099',Dropped Record
sales | order_id: 4042,DUPLICATE_ID,Field 'order_id' had value '4042',Dropped Record
sales | order_id: 3317,DUPLICATE_ID,Field 'order_id' had value '3317',Dropped Record
sales | order_id: 6582,DUPLICATE_ID,Field 'order_id' had value '6582',Dropped Record
sales | order_id: 29627,DUPLICATE_ID,Field 'order_id' had value '29627',Dropped Record
sales | order_id: 24608,DUPLICATE_ID,Field 'order_id' had value '24608',Dropped Record
sales | order_id: 8896,DUPLICATE_ID,Field 'order_id' had value '8896',Dropped Record
sales | order_id: 11573,DUPLICATE_ID,Field 'order_id' had value '11573',Dropped Record
sales | order_id: 2207,DUPLICATE_ID,Field 'order_id' had value '2207',Dropped Record
sales | order_id: 824,DUPLICATE_ID,Field 'order_id' had value '824',Dropped Record
sales | order_id: 17049,DUPLICATE_ID,Field 'order_id' had value '17049',Dropped Record
sales | order_id: 339,DUPLICATE_ID,Field 'order_id' had value '339',Dropped Record
sales | order_id: 17139,DUPLICATE_ID,Field 'order_id' had value '17139',Dropped Record
sales | order_id: 23724,DUPLICATE_ID,Field 'order_id' had value '23724',Dropped Record
sales | order_id: 14561,DUPLICATE_ID,Field 'order_id' had value '14561',Dropped Record
sales | order_id: 29541,DUPLICATE_ID,Field 'order_id' had value '29541',Dropped Record
sales | order_id: 9490,DUPLICATE_ID,Field 'order_id' had value '9490',Dropped Record
sales | order_id: 22154,DUPLICATE_ID,Field 'order_id' had value '22154',Dropped Record
sales | order_id: 3139,DUPLICATE_ID,Field 'order_id' had value '3139',Dropped Record
sales | order_id: 13163,DUPLICATE_ID,Field 'order_id' had value '13163',Dropped Record
sales | order_id: 28767,DUPLICATE_ID,Field 'order_id' had value '28767',Dropped Record
sales | order_id: 9379,DUPLICATE_ID,Field 'order_id' had value '9379',Dropped Record
sales | order_id: 3389,DUPLICATE_ID,Field 'order_id' had value '3389',Dropped Record
sales | order_id: 17768,DUPLICATE_ID,Field 'order_id' had value '17768',Dropped Record
sales | order_id: 5367,DUPLICATE_ID,Field 'order_id' had value '5367',Dropped Record
sales | order_id: 8345,DUPLICATE_ID,Field 'order_id' had value '8345',Dropped Record
sales | order_id: 23771,DUPLICATE_ID,Field 'order_id' had value '23771',Dropped Record
sales | order_id: 10829,DUPLICATE_ID,Field 'order_id' had value '10829',Dropped Record
sales | order_id: 16028,DUPLICATE_ID,Field 'order_id' had value '16028',Dropped Record
sales | order_id: 4870,DUPLICATE_ID,Field 'order_id' had value '4870',Dropped Record
sales | order_id: 16540,DUPLICATE_ID,Field 'order_id' had value '16540',Dropped Record
sales | order_id: 11389,DUPLICATE_ID,Field 'order_id' had value '11389',Dropped Record
sales | order_id: 16051,DUPLICATE_ID,Field 'order_id' had value '16051',Dropped Record
sales | order_id: 8545,DUPLICATE_ID,Field 'order_id' had value '8545',Dropped Record
sales | order_id: 8900,DUPLICATE_ID,Field 'order_id' had value '8900',Dropped Record
sales | order_id: 13542,DUPLICATE_ID,Field 'order_id' had value '13542',Dropped Record
sales | order_id: 1471,DUPLICATE_ID,Field 'order_id' had value '1471',Dropped Record
sales | order_id: 16277,DUPLICATE_ID,Field 'order_id' had value '16277',Dropped Record
sales | order_id: 17776,DUPLICATE_ID,Field 'order_id' had value '17776',Dropped Record
sales | order_id: 10190,DUPLICATE_ID,Field 'order_id' had value '10190',Dropped Record
sales | order_id: 4505,DUPLICATE_ID,Field 'order_id' had value '4505',Dropped Record
sales | order_id: 18021,DUPLICATE_ID,Field 'order_id' had value '18021',Dropped Record
sales | order_id: 15337,DUPLICATE_ID,Field 'order_id' had value '15337',Dropped Record
sales | order_id: 1296,DUPLICATE_ID,Field 'order_id' had value '1296',Dropped Record
sales | order_id: 3318,DUPLICATE_ID,Field 'order_id' had value '3318',Dropped Record
sales | order_id: 24587,DUPLICATE_ID,Field 'order_id' had value '24587',Dropped Record
sales | order_id: 26565,DUPLICATE_ID,Field 'order_id' had value '26565',Dropped Record
sales | order_id: 2954,DUPLICATE_ID,Field 'order_id' had value '2954',Dropped Record
sales | order_id: 21045,DUPLICATE_ID,Field 'order_id' had value '21045',Dropped Record
